Timestamp,Store,Method,Payout
10/31/2019 17:51:32,B,Hold Up (Intimidation Accelerated),1016
10/31/2019 17:54:05,A,Hold Up (Intimidation Accelerated),1784
10/31/2019 17:59:58,B,Murder,1259
10/31/2019 18:03:46,A,Murder,1294
10/31/2019 18:08:59,D,Hold Up (Intimidation Accelerated),1317
10/31/2019 18:15:13,E,Hold Up (Intimidation Accelerated),1474
10/31/2019 18:18:33,B,Murder,1104
10/31/2019 18:26:05,A,Hold Up (Intimidation Accelerated),1112
10/31/2019 18:30:34,A,Murder,1050
10/31/2019 18:34:00,B,Murder,1223
10/31/2019 18:37:08,A,Hold Up (No Intimidation Acceleration),1014
10/31/2019 18:44:26,B,Hold Up (No Intimidation Acceleration),1076
10/31/2019 18:45:32,D,Hold Up (No Intimidation Acceleration),1535
10/31/2019 18:45:46,A,Hold Up (No Intimidation Acceleration),1613
10/31/2019 18:45:59,B,Hold Up (No Intimidation Acceleration),1861
10/31/2019 18:46:25,A,Hold Up (No Intimidation Acceleration),1876
10/31/2019 18:46:42,G,Murder,1225
10/31/2019 18:46:54,B,Murder,1193
10/31/2019 18:47:47,F,Murder,1220
10/31/2019 18:48:02,D,Murder,1414
10/31/2019 18:48:19,A,Hold Up (No Intimidation Acceleration),1315
10/31/2019 18:48:35,B,Hold Up (No Intimidation Acceleration),1936
10/31/2019 18:48:51,C,Hold Up (No Intimidation Acceleration),1625
10/31/2019 18:49:17,A,Hold Up (No Intimidation Acceleration),1959
10/31/2019 18:49:31,A,Murder,1177
10/31/2019 18:49:47,B,Hold Up (No Intimidation Acceleration),1915
10/31/2019 18:50:01,A,Hold Up (No Intimidation Acceleration),1151
10/31/2019 18:50:17,C,Hold Up (No Intimidation Acceleration),1649
10/31/2019 18:50:48,A,Murder,1157
10/31/2019 18:51:01,B,Murder,1152
10/31/2019 18:51:14,C,Murder,982
10/31/2019 18:51:30,G,Murder,1279
10/31/2019 18:51:44,B,Murder,1004
10/31/2019 18:51:57,B,Hold Up (No Intimidation Acceleration),1838
10/31/2019 18:52:09,A,Murder,1097
10/31/2019 18:52:26,C,Hold Up (No Intimidation Acceleration),1021
10/31/2019 18:52:40,G,Hold Up (No Intimidation Acceleration),1487
10/31/2019 18:52:56,D,Hold Up (No Intimidation Acceleration),1222
10/31/2019 18:53:16,G,Murder,1857
10/31/2019 18:53:30,C,Hold Up (No Intimidation Acceleration),1102
10/31/2019 18:53:46,A,Murder,1098
10/31/2019 18:54:02,C,Hold Up (No Intimidation Acceleration),1448
10/31/2019 18:54:15,F,Murder,1060
10/31/2019 18:54:45,B,Hold Up (No Intimidation Acceleration),1408
10/31/2019 18:55:02,A,Hold Up (Intimidation Accelerated),1363
10/31/2019 18:55:17,G,Murder,1014
10/31/2019 18:55:39,D,Hold Up (Intimidation Accelerated),1011
10/31/2019 18:55:51,A,Murder,1009
10/31/2019 18:56:02,A,Hold Up (Intimidation Accelerated),1776
10/31/2019 18:56:14,A,Hold Up (Intimidation Accelerated),1377
10/31/2019 18:56:25,B,Hold Up (Intimidation Accelerated),1026
10/31/2019 21:23:35,B,Hold Up (Intimidation Accelerated),1832
10/31/2019 21:26:22,A,Murder,1150
10/31/2019 21:30:04,B,Murder,1001
10/31/2019 21:33:28,C,Hold Up (Intimidation Accelerated),1883
10/31/2019 22:07:34,A,Murder,1132
10/31/2019 22:10:25,B,Hold Up (Intimidation Accelerated),1390
10/31/2019 22:13:32,C,Hold Up (Intimidation Accelerated),1432
10/31/2019 22:16:54,A,Murder,1130
10/31/2019 22:22:06,B,Hold Up (Intimidation Accelerated),1623
10/31/2019 22:25:04,C,Hold Up (Intimidation Accelerated),1138
10/31/2019 22:27:19,A,Hold Up (Intimidation Accelerated),1596
10/31/2019 22:29:44,B,Hold Up (Intimidation Accelerated),1228
